No,State,Confirmed,Deaths,Population
1,KL and Putrajaya,126978,1116,2005300
2,Selangor,407419,3138,6715600
3,N Sembilan,71491,735,1162600
4,Johor,90683,927,3926500
5,Sarawak,76728,462,2907500
6,Sabah,84721,633,4047000
7,Pahang,24436,246,1750100
8,Perak,37679,208,2611600
9,Melak,31366,384,960500
10,Kedah,45631,435,2267500
11,Kelantan,42994,270,1959700
12,P Pinang,45833,191,1806500
13,Terengganu,16948,123,1294100
14,Perlis,704,9,264700
15,WP Labuan,9661,147,103100
